data from new session is written from here:
Sun May  2 20:43:27 2021,-40,112,281
Sun May  2 20:43:27 2021,231,156,117
Sun May  2 20:43:27 2021,25,264,52
Sun May  2 20:43:27 2021,25,264,52
Sun May  2 20:43:27 2021,-143,413,95
Sun May  2 20:43:27 2021,-166,278,289
Sun May  2 20:43:27 2021,58,134,200
Sun May  2 20:43:27 2021,58,134,200
Sun May  2 20:43:27 2021,223,141,72
Sun May  2 20:43:27 2021,-118,233,48
Sun May  2 20:43:27 2021,-253,291,243
Sun May  2 20:43:27 2021,-253,291,243
Sun May  2 20:43:27 2021,85,274,245
Sun May  2 20:43:27 2021,157,216,93
Sun May  2 20:43:27 2021,-26,202,37
Sun May  2 20:43:27 2021,-26,202,37
Sun May  2 20:43:27 2021,-137,215,193
Sun May  2 20:43:27 2021,-66,228,287
Sun May  2 20:43:27 2021,-66,228,287
Sun May  2 20:43:27 2021,157,204,114
Sun May  2 20:43:27 2021,159,284,24
Sun May  2 20:43:27 2021,-125,180,116
Sun May  2 20:43:27 2021,-136,221,272
Sun May  2 20:43:27 2021,-136,221,272
Sun May  2 20:43:27 2021,49,108,175
Sun May  2 20:43:27 2021,77,263,65
Sun May  2 20:43:27 2021,-120,188,76
Sun May  2 20:43:27 2021,-120,188,76
Sun May  2 20:43:27 2021,-165,223,267
Sun May  2 20:43:27 2021,47,261,210
Sun May  2 20:43:27 2021,109,301,82
Sun May  2 20:43:27 2021,109,301,82
Sun May  2 20:43:27 2021,23,397,50
Sun May  2 20:43:27 2021,-128,215,179
Sun May  2 20:43:27 2021,16,263,237
Sun May  2 20:43:27 2021,16,263,237
Sun May  2 20:43:27 2021,75,270,105
Sun May  2 20:43:27 2021,61,349,35
Sun May  2 20:43:27 2021,-141,263,153
Sun May  2 20:43:27 2021,-141,263,153
Sun May  2 20:43:27 2021,-23,39,226
Sun May  2 20:43:27 2021,12,223,176
Sun May  2 20:43:27 2021,-11,412,100
Sun May  2 20:43:27 2021,-11,412,100
Sun May  2 20:43:27 2021,-83,382,115
Sun May  2 20:43:27 2021,-82,33,271
Sun May  2 20:43:27 2021,165,1,171
Sun May  2 20:43:27 2021,165,1,171
Sun May  2 20:43:27 2021,59,299,115
Sun May  2 20:43:27 2021,-48,419,74
Sun May  2 20:43:27 2021,-126,339,254
Sun May  2 20:43:27 2021,25,-48,182
Sun May  2 20:43:27 2021,25,-48,182
Sun May  2 20:43:27 2021,-12,216,80
Sun May  2 20:43:27 2021,-50,331,49
Sun May  2 20:43:27 2021,-129,319,169
Sun May  2 20:43:27 2021,-49,213,238
Sun May  2 20:43:27 2021,-49,213,238
Sun May  2 20:43:27 2021,164,109,89
Sun May  2 20:43:28 2021,19,247,38
Sun May  2 20:43:28 2021,-166,217,131
Sun May  2 20:43:28 2021,-166,217,131
Sun May  2 20:43:28 2021,-83,145,287
Sun May  2 20:43:28 2021,64,347,158
Sun May  2 20:43:28 2021,-30,214,52
Sun May  2 20:43:28 2021,-30,214,52
Sun May  2 20:43:28 2021,-9,207,73
Sun May  2 20:43:28 2021,-75,141,270
